Frame Number,Timecode,delta_hue,delta_lum,delta_hsv_avg,delta_sat
335,00:00:11.177,0.564691358025,0.0457407407407,0.226008230453,0.0675925925926
336,00:00:11.211,0.0262345679012,0.00734567901235,0.0131275720165,0.0058024691358
337,00:00:11.244,0.0176543209877,0.00243827160494,0.00734567901235,0.00194444444444
338,00:00:11.277,0.0190432098765,0.00200617283951,0.00772633744856,0.00212962962963
339,00:00:11.311,0.0184259259259,0.00271604938272,0.00808641975309,0.00311728395062
340,00:00:11.344,0.00984567901235,0.00154320987654,0.00396090534979,0.000493827160494
341,00:00:11.378,0.00503086419753,0.000925925925926,0.00274691358025,0.00228395061728
342,00:00:11.411,0.00324074074074,0.000802469135802,0.00147119341564,0.00037037037037
343,00:00:11.444,0.0143827160494,0.00114197530864,0.00533950617284,0.000493827160494
344,00:00:11.478,0.00675925925926,0.000925925925926,0.00264403292181,0.000246913580247
345,00:00:11.511,0.00956790123457,0.000679012345679,0.00349794238683,0.000246913580247
